kind,seed,panel,unit_row,column,lap,phase_bin,value
trained,2,globalnorm,2,71,2,31,0.29029
trained,2,globalnorm,2,72,2,32,0.27375
trained,2,globalnorm,2,73,2,33,0.25634
trained,2,globalnorm,2,74,2,34,0.24121
trained,2,globalnorm,2,75,2,35,0.22751
trained,2,globalnorm,2,76,2,36,0.21055
trained,2,globalnorm,2,77,2,37,0.19127
trained,2,globalnorm,2,78,2,38,0.1765
trained,2,globalnorm,2,79,2,39,0.16392
trained,2,globalnorm,2,80,3,0,0.13757
trained,2,globalnorm,2,81,3,1,0.12969
trained,2,globalnorm,2,82,3,2,0.11643
trained,2,globalnorm,2,83,3,3,0.10161
trained,2,globalnorm,2,84,3,4,0.08517
trained,2,globalnorm,2,85,3,5,0.06759
trained,2,globalnorm,2,86,3,6,0.04866
trained,2,globalnorm,2,87,3,7,0.03191
trained,2,globalnorm,2,88,3,8,0.01399
trained,2,globalnorm,2,89,3,9,-0.00325
trained,2,globalnorm,2,90,3,10,-0.01862
trained,2,globalnorm,2,91,3,11,-0.03525
trained,2,globalnorm,2,92,3,12,-0.05156
trained,2,globalnorm,2,93,3,13,-0.06993
trained,2,globalnorm,2,94,3,14,-0.08591
trained,2,globalnorm,2,95,3,15,-0.10077
trained,2,globalnorm,2,96,3,16,-0.11648
trained,2,globalnorm,2,97,3,17,-0.13179
trained,2,globalnorm,2,98,3,18,-0.14675
trained,2,globalnorm,2,99,3,19,-0.16089
trained,2,globalnorm,2,100,3,20,-0.17829
trained,2,globalnorm,2,101,3,21,-0.19582
trained,2,globalnorm,2,102,3,22,-0.21145
trained,2,globalnorm,2,103,3,23,-0.22846
trained,2,globalnorm,2,104,3,24,-0.24651
trained,2,globalnorm,2,105,3,25,-0.26342
trained,2,globalnorm,2,106,3,26,-0.27846
trained,2,globalnorm,2,107,3,27,-0.29398
trained,2,globalnorm,2,108,3,28,-0.31163
trained,2,globalnorm,2,109,3,29,-0.32798
trained,2,globalnorm,2,110,3,30,-0.34684
trained,2,globalnorm,2,111,3,31,-0.36291
trained,2,globalnorm,2,112,3,32,-0.37699
trained,2,globalnorm,2,113,3,33,-0.39384
trained,2,globalnorm,2,114,3,34,-0.4105
trained,2,globalnorm,2,115,3,35,-0.42714
trained,2,globalnorm,2,116,3,36,-0.44435
trained,2,globalnorm,2,117,3,37,-0.46015
trained,2,globalnorm,2,118,3,38,-0.47651
trained,2,globalnorm,2,119,3,39,-0.49079
trained,2,globalnorm,2,120,4,0,-0.51156
trained,2,globalnorm,2,121,4,1,-0.51739
trained,2,globalnorm,2,122,4,2,-0.53208
trained,2,globalnorm,2,123,4,3,-0.54784
trained,2,globalnorm,2,124,4,4,-0.56299
trained,2,globalnorm,2,125,4,5,-0.57808
trained,2,globalnorm,2,126,4,6,-0.59173
trained,2,globalnorm,2,127,4,7,-0.60615
trained,2,globalnorm,2,128,4,8,-0.62221
trained,2,globalnorm,2,129,4,9,-0.63635
trained,2,globalnorm,2,130,4,10,-0.65111
trained,2,globalnorm,2,131,4,11,-0.66606
trained,2,globalnorm,2,132,4,12,-0.67921
trained,2,globalnorm,2,133,4,13,-0.69389
trained,2,globalnorm,2,134,4,14,-0.70738
trained,2,globalnorm,2,135,4,15,-0.71994
trained,2,globalnorm,2,136,4,16,-0.7318
trained,2,globalnorm,2,137,4,17,-0.74404
trained,2,globalnorm,2,138,4,18,-0.75592
trained,2,globalnorm,2,139,4,19,-0.76795
trained,2,globalnorm,2,140,4,20,-0.78092
trained,2,globalnorm,2,141,4,21,-0.79616
trained,2,globalnorm,2,142,4,22,-0.80966
trained,2,globalnorm,2,143,4,23,-0.82258
trained,2,globalnorm,2,144,4,24,-0.83591
trained,2,globalnorm,2,145,4,25,-0.85031
trained,2,globalnorm,2,146,4,26,-0.86464
trained,2,globalnorm,2,147,4,27,-0.87608
trained,2,globalnorm,2,148,4,28,-0.89142
trained,2,globalnorm,2,149,4,29,-0.90624
trained,2,globalnorm,2,150,4,30,-0.91982
trained,2,globalnorm,2,151,4,31,-0.93167
trained,2,globalnorm,2,152,4,32,-0.94229
trained,2,globalnorm,2,153,4,33,-0.95153
trained,2,globalnorm,2,154,4,34,-0.96085
trained,2,globalnorm,2,155,4,35,-0.96981
trained,2,globalnorm,2,156,4,36,-0.9794
trained,2,globalnorm,2,157,4,37,-0.98765
trained,2,globalnorm,2,158,4,38,-0.99558
trained,2,globalnorm,2,159,4,39,-1.0
trained,2,globalnorm,3,0,1,0,1.0
trained,2,globalnorm,3,1,1,1,0.99576
trained,2,globalnorm,3,2,1,2,0.98003
trained,2,globalnorm,3,3,1,3,0.95507
trained,2,globalnorm,3,4,1,4,0.9238
trained,2,globalnorm,3,5,1,5,0.88473
trained,2,globalnorm,3,6,1,6,0.8408
trained,2,globalnorm,3,7,1,7,0.79033
trained,2,globalnorm,3,8,1,8,0.72403
trained,2,globalnorm,3,9,1,9,0.66226
trained,2,globalnorm,3,10,1,10,0.59644
trained,2,globalnorm,3,11,1,11,0.52855
trained,2,globalnorm,3,12,1,12,0.46756
trained,2,globalnorm,3,13,1,13,0.39857
trained,2,globalnorm,3,14,1,14,0.33256
trained,2,globalnorm,3,15,1,15,0.25524
trained,2,globalnorm,3,16,1,16,0.18602
trained,2,globalnorm,3,17,1,17,0.10866
trained,2,globalnorm,3,18,1,18,0.0178
trained,2,globalnorm,3,19,1,19,-0.05766
trained,2,globalnorm,3,20,1,20,-0.13247
trained,2,globalnorm,3,21,1,21,-0.21646
trained,2,globalnorm,3,22,1,22,-0.29974
trained,2,globalnorm,3,23,1,23,-0.3696
trained,2,globalnorm,3,24,1,24,-0.43896
trained,2,globalnorm,3,25,1,25,-0.51237
trained,2,globalnorm,3,26,1,26,-0.58277
trained,2,globalnorm,3,27,1,27,-0.65185
trained,2,globalnorm,3,28,1,28,-0.72131
trained,2,globalnorm,3,29,1,29,-0.77815
trained,2,globalnorm,3,30,1,30,-0.82369
trained,2,globalnorm,3,31,1,31,-0.87477
