D_train,D_test,ratio,mode,phase,base_seed,acc_pct_mean_over_retime_seeds,n_retime_seeds
30,120,4.0,rand_complex,recovery,72,57.9,3
30,120,4.0,rand_complex,transfer,1,35.8,3
30,120,4.0,rand_complex,transfer,2,37.217,3
30,120,4.0,rand_complex,transfer,3,34.383,3
30,120,4.0,rand_complex,transfer,4,33.817,3
30,120,4.0,rand_complex,transfer,5,34.4,3
30,120,4.0,rand_complex,transfer,6,35.1,3
30,120,4.0,rand_complex,transfer,7,36.783,3
30,120,4.0,rand_complex,transfer,8,40.8,3
30,120,4.0,rand_complex,transfer,9,34.383,3
30,120,4.0,rand_complex,transfer,72,35.9,3
30,130,4.3333,hippo,recovery,1,45.033,3
30,130,4.3333,hippo,recovery,2,71.1,3
30,130,4.3333,hippo,recovery,3,47.95,3
30,130,4.3333,hippo,recovery,4,57.983,3
30,130,4.3333,hippo,recovery,5,59.6,3
30,130,4.3333,hippo,recovery,6,72.383,3
30,130,4.3333,hippo,recovery,7,54.967,3
30,130,4.3333,hippo,recovery,8,72.217,3
30,130,4.3333,hippo,recovery,9,66.6,3
30,130,4.3333,hippo,recovery,72,74.533,3
30,130,4.3333,hippo,transfer,1,33.3,3
30,130,4.3333,hippo,transfer,2,54.567,3
30,130,4.3333,hippo,transfer,3,41.8,3
30,130,4.3333,hippo,transfer,4,46.133,3
30,130,4.3333,hippo,transfer,5,34.533,3
30,130,4.3333,hippo,transfer,6,73.4,3
30,130,4.3333,hippo,transfer,7,37.817,3
30,130,4.3333,hippo,transfer,8,44.5,3
30,130,4.3333,hippo,transfer,9,54.95,3
30,130,4.3333,hippo,transfer,72,61.983,3
30,130,4.3333,rand_complex,recovery,1,44.617,3
30,130,4.3333,rand_complex,recovery,2,49.883,3
30,130,4.3333,rand_complex,recovery,3,36.117,3
30,130,4.3333,rand_complex,recovery,4,33.817,3
30,130,4.3333,rand_complex,recovery,5,39.633,3
30,130,4.3333,rand_complex,recovery,6,50.05,3
30,130,4.3333,rand_complex,recovery,7,59.083,3
30,130,4.3333,rand_complex,recovery,8,48.85,3
30,130,4.3333,rand_complex,recovery,9,38.083,3
30,130,4.3333,rand_complex,recovery,72,51.25,3
30,130,4.3333,rand_complex,transfer,1,34.767,3
30,130,4.3333,rand_complex,transfer,2,36.567,3
30,130,4.3333,rand_complex,transfer,3,34.433,3
30,130,4.3333,rand_complex,transfer,4,33.983,3
