kind,projection,split,lap,dim1,dim2
trained,lda,train,3,-4.3555078001260759,0.70848311247309848
trained,lda,train,2,3.4845169663510074,-1.1694739013816804
trained,lda,train,2,4.2238366488919024,0.93457633195437939
trained,lda,train,3,-5.0567061869976131,-0.012594393617323675
trained,lda,train,3,-4.6740502162413851,-0.053237931748782483
trained,lda,train,2,3.4046914627798146,-0.13377292084874645
trained,lda,train,2,2.8681812288683366,-1.2754101050635505
trained,lda,train,2,4.1052825196162699,3.3732315193234697
trained,lda,train,3,-4.6114385303688268,1.5698467027878309
trained,lda,train,2,3.4169855381628316,-1.3847355706798758
trained,lda,train,2,3.4439546763031883,-1.2111356804383606
trained,lda,train,3,-3.9726838556849207,0.27133340982783111
trained,lda,train,3,-5.4196956498748659,0.23815022841304692
trained,lda,train,2,2.981909181068898,-2.1466165471360639
trained,lda,train,2,3.9467691775652991,0.62501126037234767
trained,lda,train,3,-4.8831452186574369,0.1736004774455133
trained,lda,train,2,3.8712669591775914,-0.67068566467107571
trained,lda,train,2,3.8421513417910256,0.034876807187956479
trained,lda,train,3,-4.3050110499517178,0.30625834374232963
trained,lda,train,2,-2.5214961877783968,0.84971802516366668
trained,lda,train,2,3.4153068191027742,0.50424712515842318
trained,lda,train,2,3.7173297675396126,-1.0036643366176772
trained,lda,train,2,3.9900370972164714,-0.60446675408711958
trained,lda,train,3,-4.7776751772922381,1.9025926144866068
trained,lda,train,3,-4.2334135362224128,-0.55841800264035657
trained,lda,train,2,3.3257674089728453,0.39199553439391677
trained,lda,train,2,3.5968098315750088,1.1664933896812484
trained,lda,train,2,3.5823449712607545,0.085390722574847255
trained,lda,train,2,3.46162657202159,-0.36574840682777859
trained,lda,train,2,3.1710720873917944,0.69425463714492064
trained,lda,train,2,3.8853796077360365,1.1778359484137344
trained,lda,train,4,-12.941421767483359,1.1364152079225192
trained,lda,train,3,-4.4569075097869248,-0.96521266051600618
trained,lda,train,3,-4.2045624057592059,1.6632120909460872
trained,lda,train,1,11.935889853885882,0.95094767231662525
trained,lda,train,2,3.7377450582994243,-0.83654313914539569
trained,lda,train,2,5.2512344588239417,3.4999359154377832
trained,lda,train,3,-4.2658107644526222,0.29567289248051781
trained,lda,train,2,3.9544133758448883,2.4892407226086766
trained,lda,train,2,-2.9562965149701372,1.1069046129031188
trained,lda,train,2,3.8920565936674771,1.0441010172661811
trained,lda,train,2,4.0215794139408816,2.0358591181877341
trained,lda,train,3,-4.8366072457829263,0.19265686578822899
trained,lda,train,2,3.4468416528098329,-1.1944512518046648
trained,lda,train,3,-5.5540493670056703,-1.5320379230995054
trained,lda,train,2,3.4950330123139222,0.035136667500746128
trained,lda,train,3,-4.7300405857054706,0.026644185474673981
trained,lda,train,2,3.2331368659170217,-1.0224629333246629
trained,lda,train,2,3.7125055275333536,3.6189706637555146
trained,lda,train,3,-4.0556508143989047,0.56134731326683829
trained,lda,train,2,3.6942614588791947,0.51910912588783187
trained,lda,train,3,-4.0823047149013645,0.71567359086218374
trained,lda,train,2,3.3013258920139328,-1.2503922248752046
trained,lda,train,2,3.3000163287994808,-1.4711362342928718
trained,lda,train,2,3.3354499181885089,-1.454942264857618
trained,lda,train,2,3.2613328901343874,-1.1797596979603797
trained,lda,train,2,3.7264948412057479,0.24794872712312771
trained,lda,train,2,3.3497777776837383,-1.2404661579321272
trained,lda,train,2,3.7841945848149181,1.6750151737277175
trained,lda,train,2,3.1109542257683924,-0.0029050462177697346
trained,lda,train,2,4.1968950976274542,-0.17750731934735448
trained,lda,train,2,3.2931146848258384,-2.0525591609780651
trained,lda,train,3,-5.2180367244799841,-0.74595324811015495
trained,lda,train,2,3.1882889434276702,-0.17938043618700855
trained,lda,train,2,3.259103523481214,0.65321938662462709
trained,lda,train,3,-4.2967993273712048,0.65988040368089351
trained,lda,train,3,-4.5851583123817203,-1.1059123604829668
trained,lda,train,3,-4.5070149464811742,-0.91511443075853782
trained,lda,train,2,3.437129348198487,-1.043724828757421
trained,lda,train,2,3.6915522246626149,1.369895970954131
trained,lda,train,3,-4.8356778560447813,0.25835119907695919
trained,lda,train,3,-4.1829376012407673,-0.34699913245402214
trained,lda,train,2,3.6198074641804814,-0.17175373174959832
trained,lda,train,2,3.4335997444108335,-0.49361459737272212
trained,lda,train,3,-4.305440217781352,0.56107698590756461
trained,lda,train,2,-3.0476363653153848,1.5399393176786182
trained,lda,train,2,3.1645712489225803,-0.29020412924992089
trained,lda,train,3,-4.2002300633695411,2.1894854110341297
trained,lda,train,2,4.1517370844152071,-0.69705473693843123
trained,lda,train,3,-4.7564472325384521,-0.39365178469056539
trained,lda,train,2,3.4470900338577017,-1.0960227201903125
trained,lda,train,2,4.0483216678835827,-0.99488974038547096
trained,lda,train,2,3.9120804848550494,-0.43543061948366746
trained,lda,train,3,-4.5316091519943811,1.8674053419286476
trained,lda,train,2,3.7580208343272794,-0.88627271829871268
trained,lda,train,3,-4.9525094941940964,-1.2217051421505476
trained,lda,train,2,4.0169585626472371,-0.32421590320844967
trained,lda,train,2,3.3114879982953216,-0.79624195220026472
trained,lda,train,3,-4.7876180013156224,-0.77266444541319701
trained,lda,train,2,3.5455307944443426,0.38539005566642354
trained,lda,train,2,3.9219260432091616,0.15346512140739429
trained,lda,train,2,3.1317784318489554,-0.90741114006625534
