mode,phase,seed,sort,unit_rank,time_bin,peak_count,value
hippo,initial_d30,1,freq,9,24,2,-0.54534
hippo,initial_d30,1,freq,9,25,2,-0.39825
hippo,initial_d30,1,freq,9,26,2,-0.24053
hippo,initial_d30,1,freq,9,27,2,-0.07677
hippo,initial_d30,1,freq,9,28,2,0.08829
hippo,initial_d30,1,freq,9,29,2,0.24989
hippo,initial_d30,1,freq,10,0,1,1.0
hippo,initial_d30,1,freq,10,1,1,0.90583
hippo,initial_d30,1,freq,10,2,1,0.81303
hippo,initial_d30,1,freq,10,3,1,0.72167
hippo,initial_d30,1,freq,10,4,1,0.63178
hippo,initial_d30,1,freq,10,5,1,0.54343
hippo,initial_d30,1,freq,10,6,1,0.45666
hippo,initial_d30,1,freq,10,7,1,0.37153
hippo,initial_d30,1,freq,10,8,1,0.28808
hippo,initial_d30,1,freq,10,9,1,0.20636
hippo,initial_d30,1,freq,10,10,1,0.12642
hippo,initial_d30,1,freq,10,11,1,0.04831
hippo,initial_d30,1,freq,10,12,1,-0.02793
hippo,initial_d30,1,freq,10,13,1,-0.10225
hippo,initial_d30,1,freq,10,14,1,-0.17462
hippo,initial_d30,1,freq,10,15,1,-0.245
hippo,initial_d30,1,freq,10,16,1,-0.31332
hippo,initial_d30,1,freq,10,17,1,-0.37958
hippo,initial_d30,1,freq,10,18,1,-0.44371
hippo,initial_d30,1,freq,10,19,1,-0.5057
hippo,initial_d30,1,freq,10,20,1,-0.5655
hippo,initial_d30,1,freq,10,21,1,-0.62307
hippo,initial_d30,1,freq,10,22,1,-0.67839
hippo,initial_d30,1,freq,10,23,1,-0.73142
hippo,initial_d30,1,freq,10,24,1,-0.78214
hippo,initial_d30,1,freq,10,25,1,-0.83051
hippo,initial_d30,1,freq,10,26,1,-0.8765
hippo,initial_d30,1,freq,10,27,1,-0.9201
hippo,initial_d30,1,freq,10,28,1,-0.96128
hippo,initial_d30,1,freq,10,29,1,-1.0
hippo,initial_d30,1,freq,11,0,1,1.0
hippo,initial_d30,1,freq,11,1,1,0.93029
hippo,initial_d30,1,freq,11,2,1,0.86061
hippo,initial_d30,1,freq,11,3,1,0.79097
hippo,initial_d30,1,freq,11,4,1,0.72139
hippo,initial_d30,1,freq,11,5,1,0.65184
hippo,initial_d30,1,freq,11,6,1,0.58234
hippo,initial_d30,1,freq,11,7,1,0.51289
hippo,initial_d30,1,freq,11,8,1,0.44348
hippo,initial_d30,1,freq,11,9,1,0.37413
hippo,initial_d30,1,freq,11,10,1,0.30483
hippo,initial_d30,1,freq,11,11,1,0.23559
hippo,initial_d30,1,freq,11,12,1,0.1664
hippo,initial_d30,1,freq,11,13,1,0.09726
hippo,initial_d30,1,freq,11,14,1,0.02818
hippo,initial_d30,1,freq,11,15,1,-0.04083
hippo,initial_d30,1,freq,11,16,1,-0.10979
hippo,initial_d30,1,freq,11,17,1,-0.17868
hippo,initial_d30,1,freq,11,18,1,-0.24751
hippo,initial_d30,1,freq,11,19,1,-0.31628
hippo,initial_d30,1,freq,11,20,1,-0.38498
hippo,initial_d30,1,freq,11,21,1,-0.45361
hippo,initial_d30,1,freq,11,22,1,-0.52216
hippo,initial_d30,1,freq,11,23,1,-0.59065
hippo,initial_d30,1,freq,11,24,1,-0.65907
hippo,initial_d30,1,freq,11,25,1,-0.72741
hippo,initial_d30,1,freq,11,26,1,-0.79567
hippo,initial_d30,1,freq,11,27,1,-0.86386
hippo,initial_d30,1,freq,11,28,1,-0.93197
hippo,initial_d30,1,freq,11,29,1,-1.0
hippo,initial_d30,1,freq,12,0,1,1.0
hippo,initial_d30,1,freq,12,1,1,0.93086
hippo,initial_d30,1,freq,12,2,1,0.86172
hippo,initial_d30,1,freq,12,3,1,0.79261
hippo,initial_d30,1,freq,12,4,1,0.7235
hippo,initial_d30,1,freq,12,5,1,0.6544
hippo,initial_d30,1,freq,12,6,1,0.58532
hippo,initial_d30,1,freq,12,7,1,0.51625
hippo,initial_d30,1,freq,12,8,1,0.44719
